id,group
user50040,com0
user61040,com0
user6040,com0
cell19040,com0
cell8040,com0
user23040,com0
user44040,com0
cell1040,com0
user80040,com0
user28040,com0
user81040,com0
user45040,com0
cell36040,com0
user62040,com0
package140,com0
cell24040,com0
user84040,com0
cell42040,com0
user36040,com0
user52040,com0
user74040,com0
cell59040,com0
cell4040,com0
cell66040,com0
cell40040,com0
user97040,com0
cell3040,com0
user93040,com0
user48040,com0
user90040,com0
cell27040,com0
user43040,com0
user49040,com0
user96040,com0
cell20040,com0
cell47040,com0
cell21040,com0
user5040,com0
user89040,com0
cell44040,com0
cell35040,com0
cell28040,com0
cell26040,com0
user47040,com0
user30040,com0
user46040,com0
user75040,com0
app40,com0
cell68040,com0
user27040,com0
user76040,com0
user12040,com0
cell34040,com0
user99040,com0
cell43040,com0
user70040,com0
cell67040,com0
user54040,com0
user85040,com0
cell48040,com0
cell37040,com0
user31040,com0
user40,com0
user98040,com0
user1040,com0
cell25040,com0
user38040,com0
user73040,com0
cell6040,com0
user11040,com0
cell9040,com0
cell63040,com0
user59040,com0
cell54040,com0
user7040,com0
cell41040,com0
user8040,com0
user94040,com0
cell18040,com0
user57040,com0
user18040,com0
cell62040,com0
cell57040,com0
user91040,com0
cell50040,com0
user55040,com0
user51040,com0
user29040,com0
user71040,com0
user13040,com0
user22040,com0
user14040,com0
cell38040,com0
user24040,com0
cell61040,com0
user58040,com0
user92040,com0
cell5040,com0
user60040,com0
user72040,com0
user63040,com0
user33040,com0
user34040,com0
cell2040,com0
cell29040,com0
cell16040,com0
cell7040,com0
user10040,com0
user82040,com0
cell40,com0
cell10040,com0
user40040,com0
cell32040,com0
user67040,com0
cell46040,com0
user21040,com0
cell45040,com0
user9040,com0
cell65040,com0
user2040,com0
user20040,com0
cell12040,com0
user17040,com0
user86040,com0
cell49040,com0
user19040,com0
cell55040,com0
user79040,com0
cell13040,com0
user64040,com0
cell39040,com0
user53040,com0
user83040,com0
cell14040,com0
user15040,com0
user42040,com0
user66040,com0
user77040,com0
cell52040,com0
user88040,com0
user78040,com0
cell53040,com0
cell11040,com0
user69040,com0
cell31040,com0
cell56040,com0
user3040,com0
cell22040,com0
user35040,com0
user32040,com0
cell51040,com0
user56040,com0
cell15040,com0
cell23040,com0
user4040,com0
cell58040,com0
user87040,com0
cell60040,com0
user68040,com0
user41040,com0
user65040,com0
user39040,com0
cell33040,com0
cell30040,com0
user95040,com0
user25040,com0
user26040,com0
cell17040,com0
user16040,com0
cell64040,com0
user37040,com0
cell59320,com1
user72320,com1
user86320,com1
user46320,com1
user92320,com1
cell11320,com1
cell24320,com1
user17320,com1
cell49320,com1
cell18320,com1
user11320,com1
user71320,com1
cell5320,com1
user22320,com1
user78320,com1
user83320,com1
cell33320,com1
user68320,com1
user6320,com1
cell9320,com1
user47320,com1
cell53320,com1
cell31320,com1
user5320,com1
user48320,com1
cell54320,com1
cell37320,com1
user28320,com1
cell25320,com1
user55320,com1
cell32320,com1
cell26320,com1
user24320,com1
cell61320,com1
user19320,com1
cell39320,com1
user1320,com1
cell15320,com1
user84320,com1
user34320,com1
cell36320,com1
user65320,com1
cell13320,com1
cell34320,com1
user42320,com1
cell21320,com1
user25320,com1
cell22320,com1
package40,com1
user62320,com1
cell58320,com1
user95320,com1
cell52320,com1
user16320,com1
user66320,com1
app320,com1
user63320,com1
cell30320,com1
user33320,com1
user77320,com1
user41320,com1
cell47320,com1
cell19320,com1
user15320,com1
