id,group
cell50080,com27
cell40520,com20
user20640,com25
user4180,com46
cell18320,com23
cell36440,com30
cell37260,com42
cell39780,com29
cell33760,com31
cell44480,com2
cell240,com0
user82720,com43
user15520,com20
user51760,com31
user81260,com42
cell1080,com27
user47280,com32
user41720,com43
cell53340,com19
cell58280,com32
user19960,com34
cell51660,com39
user34200,com48
user10200,com48
user7460,com5
cell33540,com40
cell1480,com2
cell35380,com3
cell26880,com7
cell38820,com13
user2380,com3
cell62240,com0
user90780,com29
cell56700,com14
user41400,com6
user94700,com14
cell66920,com21
user1600,com4
cell63920,com21
user73560,com36
user38880,com7
cell67680,com11
user50320,com23
cell49720,com43
user59260,com42
user87340,com19
app840,com17
user91920,com21
cell12920,com21
cell35240,com0
user17460,com5
user51440,com30
user69300,com35
cell35100,com41
cell43600,com4
user2180,com46
user48540,com40
cell6580,com26
user92520,com20
user70860,com12
user97660,com39
cell10880,com7
cell41020,com33
cell1380,com3
cell32600,com4
user79560,com36
user80240,com0
user48980,com49
user27640,com25
user59120,com24
user7780,com29
cell45380,com3
user4480,com2
user52160,com45
app760,com31
user54660,com39
cell20660,com39
user82140,com16
user70020,com33
user6740,com1
user89780,com29
user49380,com3
user26340,com19
cell40460,com5
cell9420,com47
cell1560,com36
cell5240,com0
cell10960,com34
user27920,com21
cell12960,com34
cell7100,com41
user2620,com22
cell19700,com14
user22500,com15
cell6320,com23
user35880,com7
cell58600,com4
cell10440,com30
cell55160,com45
user68360,com8
user22820,com13
cell54140,com16
user23640,com25
cell32620,com22
cell35820,com13
cell20720,com43
cell4820,com13
user23320,com23
user10900,com9
cell20320,com23
user1940,com38
user55020,com33
cell580,com26
user4980,com49
cell7560,com36
cell19680,com11
user55560,com36
cell68820,com13
user33160,com45
cell29720,com43
user15200,com48
user17760,com31
user86420,com47
user31380,com3
cell14240,com0
user28040,com37
user94960,com34
cell49580,com26
user68200,com48
cell22580,com26
user26060,com10
cell9860,com12
user53260,com42
user72340,com19
cell14020,com33
cell21200,com48
user79740,com1
user6220,com44
user83560,com36
user27680,com11
cell23600,com4
cell14200,com48
user42880,com7
user84840,com17
user61500,com15
cell40060,com10
user73940,com38
user64680,com11
user61840,com17
cell24280,com32
cell41160,com45
cell30840,com17
cell17420,com47
user21860,com12
user34080,com27
user9580,com26
user17560,com36
cell39280,com32
cell25440,com30
user5080,com27
user64640,com25
user57660,com39
cell2540,com40
user90240,com0
user3420,com47
user34880,com7
user20160,com45
user58880,com7
cell68800,com18
user42800,com18
cell5760,com31
user35340,com19
cell15900,com9
cell66100,com41
user54180,com46
cell28400,com6
user3060,com10
user91440,com30
user71960,com34
cell43520,com20
cell43660,com39
cell68640,com25
user16160,com45
cell53140,com16
user31080,com27
cell29260,com42
user1200,com48
cell11220,com44
cell27120,com24
user45100,com41
user73920,com21
user69120,com24
user33080,com27
user73960,com34
cell44300,com35
user60800,com18
user13680,com11
user14700,com14
user22440,com30
cell66540,com40
user29340,com19
user36780,com29
user37860,com12
user64160,com45
user75260,com42
user63380,com3
cell4160,com45
cell33100,com41
cell14820,com13
user23180,com46
user89220,com44
user57420,com47
user15620,com22
user10040,com37
cell59680,com11
user65720,com43
user1300,com35
user76860,com12
cell39200,com48
user4660,com39
user34780,com29
user21280,com32
user14460,com5
user44200,com48
cell51880,com7
user11660,com39
cell2160,com45
user64760,com31
cell18280,com32
user89520,com20
cell63180,com46
user25400,com6
user90120,com24
user45680,com11
user74440,com30
user91380,com3
user7880,com7
user54420,com47
user34120,com24
user29400,com6
user28920,com21
cell50660,com39
cell55020,com33
user94020,com33
cell26160,com45
app780,com29
cell26840,com17
cell30360,com8
user90700,com14
user70220,com44
user34440,com30
user56040,com37
user22600,com4
user22220,com44
user51560,com36
cell15460,com5
user43840,com17
user51940,com38
cell41220,com44
user39100,com41
user9000,com28
user67360,com8
user87560,com36
user51120,com24
user45560,com36
cell48000,com28
cell64940,com38
user32680,com11
user67960,com34
user50460,com5
user3740,com1
cell38300,com35
user64500,com15
user76780,com29
cell61340,com19
user87660,com39
cell43100,com41
user56840,com17
cell43720,com43
cell38780,com29
cell29760,com31
user63180,com46
cell32060,com10
user99980,com49
user74500,com15
user94480,com2
cell20400,com6
user81840,com17
user83840,com17
cell57080,com27
cell5120,com24
cell2220,com44
cell60080,com27
user27400,com6
user69940,com38
user2860,com12
user94860,com12
cell67400,com6
cell21340,com19
